urban_id,old_label,pixel_count,area_km2
1,38,15,15.0
2,84,17,17.0
3,89,16,16.0
4,100,17,17.0
5,111,63,63.0
6,124,12,12.0
7,137,24,24.0
8,139,10,10.0
9,152,11,11.0
10,162,17,17.0
11,176,13,13.0
12,178,11,11.0
13,189,41,41.0
14,193,113,113.0
15,205,58,58.0
16,212,12,12.0
17,214,1431,1431.0
18,226,25,25.0
19,237,16,16.0
20,239,23,23.0
21,240,10,10.0
22,249,16,16.0
23,257,10,10.0
24,270,11,11.0
25,272,12,12.0
26,274,33,33.0
27,277,10,10.0
28,284,17,17.0
29,286,31,31.0
30,293,13,13.0
31,301,20,20.0
32,305,19,19.0
33,309,32,32.0
34,312,85,85.0
35,314,233,233.0
36,315,10,10.0
37,324,12,12.0
38,328,10,10.0
39,329,11,11.0
40,330,11,11.0
41,336,51,51.0
42,338,10,10.0
43,340,17,17.0
44,343,16,16.0
45,345,13,13.0
46,346,73,73.0
47,349,21,21.0
48,357,13,13.0
49,361,11,11.0
50,369,33,33.0
51,378,15,15.0
52,379,15,15.0
53,382,22,22.0
54,397,19,19.0
55,402,19,19.0
56,416,11,11.0
57,440,33,33.0
58,442,30,30.0
59,445,45,45.0
60,451,14,14.0
61,459,102,102.0
62,462,16,16.0
63,463,63,63.0
64,470,11,11.0
65,481,14,14.0
66,482,11,11.0
67,487,13,13.0
68,489,23,23.0
69,497,16,16.0
70,499,11,11.0
71,501,129,129.0
72,504,10,10.0
73,513,33,33.0
74,514,10,10.0
75,517,33,33.0
76,518,12,12.0
77,525,10,10.0
78,526,26,26.0
79,531,25,25.0
80,536,12,12.0
81,542,20,20.0
82,543,18,18.0
83,573,10,10.0
84,578,10,10.0
85,587,24,24.0
86,588,12,12.0
87,589,27,27.0
88,598,16,16.0
89,602,99,99.0
90,607,10,10.0
91,611,11,11.0
92,613,13,13.0
93,614,11,11.0
94,616,21,21.0
95,637,15,15.0
96,645,10,10.0
97,657,60,60.0
98,666,44,44.0
99,670,16,16.0
100,681,16,16.0
101,682,17,17.0
102,685,11,11.0
103,694,74,74.0
104,706,16,16.0
105,733,26,26.0
106,756,27,27.0
107,765,29,29.0
108,783,17,17.0
109,798,13,13.0
110,802,84,84.0
111,817,266,266.0
112,822,13,13.0
113,839,20,20.0
114,845,13,13.0
115,847,16,16.0
116,856,90,90.0
117,879,16,16.0
118,887,31,31.0
119,895,13,13.0
120,907,48,48.0
121,915,19,19.0
122,925,17,17.0
123,938,73,73.0
124,967,11,11.0
125,986,33,33.0
126,989,13,13.0
127,1005,20,20.0
128,1021,11,11.0
129,1034,24,24.0
130,1036,72,72.0
131,1038,13,13.0
132,1045,14,14.0
133,1060,30,30.0
134,1064,27,27.0
135,1070,91,91.0
136,1083,11,11.0
137,1089,12,12.0
138,1092,44,44.0
139,1094,14,14.0
140,1101,27,27.0
141,1110,11,11.0
142,1111,33,33.0
143,1114,11,11.0
144,1148,47,47.0
145,1156,34,34.0
146,1161,29,29.0
147,1175,14,14.0
148,1191,107,107.0
149,1197,21,21.0
150,1202,14,14.0
151,1215,11,11.0
152,1221,11,11.0
153,1233,13,13.0
154,1234,24,24.0
155,1242,1673,1673.0
156,1245,11,11.0
157,1249,10,10.0
158,1254,23,23.0
159,1256,44,44.0
160,1276,46,46.0
161,1279,47,47.0
162,1282,10,10.0
163,1283,27,27.0
164,1289,16,16.0
165,1294,12,12.0
166,1304,15,15.0
167,1305,11,11.0
168,1322,31,31.0
169,1326,71,71.0
170,1337,68,68.0
171,1347,62,62.0
172,1355,12,12.0
173,1360,12,12.0
174,1363,294,294.0
175,1381,12,12.0
176,1382,15,15.0
177,1383,132,132.0
178,1393,51,51.0
179,1400,11,11.0
180,1409,10,10.0
181,1410,46,46.0
182,1426,14,14.0
183,1430,75,75.0
184,1442,11,11.0
185,1449,13,13.0
186,1452,11,11.0
187,1462,44,44.0
188,1465,48,48.0
189,1468,98,98.0
190,1469,10,10.0
191,1483,10,10.0
192,1509,382,382.0
193,1520,12,12.0
194,1544,54,54.0
195,1550,17,17.0
196,1555,11,11.0
197,1557,44,44.0
198,1597,10,10.0
199,1624,45,45.0
200,1658,30,30.0
201,1664,12,12.0
202,1669,34,34.0
